Name,EmployeeID,Salary ($),DOB,JoinDate,Year of Service,Weight,Address,Email
"Patel, Dr. Priya",618372549,1000000,10/10/1973,4/17/2019,5,93.0 kg,"765 Sycamore Pl, Cincinnati, OH 45201",dr.priya.patel@yahoo.com
Professor Michael Williams,156489237,500000,2/28/1974,7/12/2005,19,61.23 kg,"876 Maple Blvd, Portland, OR 97201",professor.michael.williams@gmail.com
Professor Michael Williams,0873 216 0905,50000,7/31/1995,3/25/2009,15,61.3 kg,"987 Willow Rd, Kansas City, MO 64101",professor.michael.williams@gmail.com
"Reddy, Kavita",874215603,70000,9/10/1987,1/5/2017,8,95.25 kg,"108 Pine Dr #205, Charlotte, NC 28201",kavita.reddy@gmail.com
"Rodriguez, Diego",0467-215-0983,28000,2/17/1988,10/15/2011,13,95.7 kg,"219 Redwood Ln, Salt Lake City, UT 84101",diego.rodriguez@gmail.com
"Rodriguez, Diego",0287-460-931,38000,3/27/1985,9/17/2010,14,58.97 kg,"320 Oak Ave, Raleigh, NC 27601",diego.rodriguez@gmail.com
"Rodriguez, Diego J.",0456 790 321,600000,11/18/1988,7/19/2019,5,59.0 kg,"431 Cedar Blvd Apt 7, Nashville, TN 37201",diego.j.rodriguez@yahoo.com
Samantha Taylor-Smith,0743 856 291,300000,9/30/1993,12/9/2016,8,99.79 kg,"542 Birch St, Sacramento, CA 95801",samantha.taylor-smith@gmail.com
"Sara L. Miller, PhD",891 567 204,35000,8/22/1985,11/15/2008,16,99.4 kg,"653 Magnolia Rd, Apt 101, Austin, TX 78701",sara.l.miller.phd@gmail.com
"Sharma, Rahul",0761 502 834,55000,1/20/1997,2/28/2008,17,56.7 kg,"764 Sycamore Cir, Phladelphia, PA 19101",rahul.sharma@yahoo.com
"Singh, Vikram",539 687 214,90000,3/15/1992,5/10/2012,12,56.8 kg,"875 Pine Pl, San Diego, CA 92101",vikram.singh@gmail.com
"Takahashi, Akira",198-543-706,30000,4/3/1995,3/7/2012,12,102.06 kg,"986 Spruce Ln, Jacksonvill, FL 32201",akira.takahashi@gmail.com
"Takahashi, Akira",0143 297 865,42000,5/21/2071,10/30/2014,10,102.1 kg,"109 Elm Dr #302, Charleston, SC 29401",akira.takahashi@gmail.com
Tao Xu,0309-678-0124,750000,11/24/1981,1/12/2017,8,54.43 kg,"210 Maple Rd, Memphs, TN 38101",tao.xu@yahoo.com
"Verma, Mr. Rajiv",215 908 347,45000,2/25/1990,4/30/2007,17,54.5 kg,"321 Oakwood Ave, Oklahma City, OK 73101",mr.rajiv.verma@gmail.com
Wei Chen,0876 234 501,75000,12/7/1992,9/21/2013,11,104.33 kg,"432 Birch Pl, Apt 6D, Richmond, VA 23201",wei.chen@yahoo.com
William Turner Jr.,0961 874 0250,850000,12/20/1982,8/2/2006,18,104.8 kg,"543 Sycamore Blvd, Newark, NJ 07001",william.turner.jr@gmail.com
"Williams, Jamal",0297-431-0568,55000,4/5/1978,4/13/2008,16,52.16 kg,"654 Willow Cir #9, Hartford, CT 06101",jamal.williams@yahoo.com
"Williams, Jamal",0845 603 0219,14000,2/14/1989,4/8/2005,19,52.2 kg,"765 Redwood Dr, Bufflo, NY 14201",jamal.williams@yahoo.com
"Xavier, Sara",0406-892-0715,68000,10/23/1974,12/25/2017,7,106.59 kg,"876 Cedar Ln, Rochestor, NY 14601",sara.xavier@gmail.com
Ying Zhao,0172-946-0580,600000,5/28/1979,11/21/2011,13,107.5 kg,"987 Elm Ave Apt 205, Virginia Beach, VA 23401",ying.zhao@yahoo.com
